loan_id,note_available,deed_available,title_available,appraisal_available,insurance_available,document_status,last_verified_at
L000001,N,Y,Y,N,Y,MISSING,2025-12-05
L000002,Y,Y,Y,N,N,COMPLETE,2025-09-03
L000003,Y,N,Y,Y,N,INCOMPLETE,2026-02-04
L000004,Y,Y,Y,Y,N,COMPLETE,2025-12-26
L000005,Y,Y,Y,Y,N,COMPLETE,2025-08-25
L000006,N,N,N,N,Y,MISSING,2026-03-31
L000007,Y,N,Y,N,N,COMPLETE,2026-06-05
L000008,Y,N,Y,Y,Y,COMPLETE,2026-05-31
L000009,N,Y,N,N,N,COMPLETE,2025-11-14
L000010,Y,Y,Y,N,Y,COMPLETE,2026-06-26
L000011,Y,N,N,N,N,COMPLETE,2026-03-26
L000012,Y,N,Y,Y,Y,COMPLETE,2026-06-24
L000013,Y,N,Y,N,Y,COMPLETE,2025-12-13
L000014,Y,N,Y,N,Y,COMPLETE,2026-02-01
L000015,N,N,Y,Y,Y,INCOMPLETE,2026-03-02
L000016,N,Y,Y,N,Y,COMPLETE,2026-02-01
L000017,Y,N,N,Y,Y,COMPLETE,2026-05-21
L000018,Y,N,Y,N,Y,COMPLETE,2025-10-28
L000019,N,N,Y,N,Y,COMPLETE,2025-12-01
L000020,Y,N,Y,Y,Y,COMPLETE,2026-05-15
L000021,Y,N,Y,N,N,COMPLETE,2026-07-22
L000022,N,N,Y,Y,Y,MISSING,2026-01-23
L000023,Y,N,Y,N,Y,COMPLETE,2026-06-09
L000024,N,N,Y,Y,Y,COMPLETE,2025-09-13
L000025,Y,N,Y,N,N,COMPLETE,2026-08-23
L000026,Y,N,Y,Y,N,COMPLETE,2026-07-18
L000027,Y,Y,Y,Y,Y,INCOMPLETE,2026-03-23
L000028,Y,Y,N,N,Y,COMPLETE,2025-10-21
L000029,Y,Y,Y,N,Y,COMPLETE,2025-11-20
L000030,Y,N,Y,N,Y,COMPLETE,2026-05-18
L000031,Y,N,Y,N,Y,COMPLETE,2026-06-28
L000032,Y,N,N,N,Y,COMPLETE,2025-09-30
L000033,N,Y,Y,Y,Y,MISSING,2026-07-06
L000034,N,N,Y,N,Y,INCOMPLETE,2025-10-03
L000035,Y,Y,Y,N,Y,INCOMPLETE,2026-04-14
L000036,Y,Y,Y,N,N,COMPLETE,2026-02-28
L000037,Y,N,Y,Y,Y,INCOMPLETE,2026-04-10
L000038,Y,N,Y,Y,Y,COMPLETE,2025-11-01
L000039,Y,Y,Y,Y,Y,COMPLETE,2026-04-14
L000040,N,N,N,N,Y,COMPLETE,2026-06-24
L000041,N,N,Y,N,N,COMPLETE,2026-05-08
L000042,Y,N,Y,Y,Y,COMPLETE,2025-12-11
L000043,N,N,Y,N,Y,COMPLETE,2025-11-27
L000044,N,Y,Y,Y,Y,INCOMPLETE,2026-05-01
L000045,Y,N,Y,N,N,MISSING,2025-11-15
L000046,N,N,Y,Y,Y,COMPLETE,2026-05-05
L000047,Y,N,N,N,Y,COMPLETE,2026-06-25
L000048,Y,N,Y,N,Y,COMPLETE,2026-08-06
L000049,Y,N,Y,N,Y,INCOMPLETE,2025-09-13
L000050,N,N,Y,N,Y,COMPLETE,2025-10-15
L000051,N,N,N,N,Y,COMPLETE,2025-09-18
L000052,N,Y,N,N,N,COMPLETE,2026-04-24
L000053,N,Y,Y,Y,Y,COMPLETE,2026-04-16
L000054,Y,Y,Y,N,N,MISSING,2025-11-10
L000055,Y,Y,Y,N,Y,COMPLETE,2026-01-04
L000056,N,Y,Y,N,Y,COMPLETE,2026-02-20
L000057,Y,Y,N,N,N,COMPLETE,2026-01-04
L000058,Y,N,Y,N,Y,MISSING,2025-09-30
L000059,Y,Y,Y,Y,N,COMPLETE,2026-04-24
L000060,Y,N,N,N,N,COMPLETE,2026-01-19
