loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
L000001,B9935,CONVENTIONAL,2012-07-01,2027-07-01,338389.00,155381.36,6.043,180,XX,PURCHASE,B,16,LOW,CURRENT,0,US Bank,2013-09-23,2013-09-29,COMPLETE,MANUAL_ENTRY
L000002,B3615,JUMBO,2022-03-23,2042-03-23,-281148.00,166435.65,4.542,180,WI,REFINANCE,A,2,VERY_HIGH,CURRENT,0,Wells Fargo,2032-01-20,2032-01-31,INCOMPLETE,MANUAL_ENTRY
L000003,B5803,VA,2015-12-07,2030-12-07,531741.00,0.00,5.964,360,TX,PURCHASE,C,2,MEDIUM,CLOSED,0,Freedom Mortgage,2020-04-04,2020-04-07,COMPLETE,SERVICING_SYS
L000004,B2169,FHA,2018-03-08,2033-03-08,438162.00,232631.58,5.705,180,MO,REFINANCE,B+,22,MEDIUM,DELINQUENT,74,PNC Bank,2028-10-07,2028-10-17,INCOMPLETE,ORIGINATION_SYS
L000005,B6155,FHA,2015-02-20,2030-02-20,380776.00,213522.85,6.433,240,TN,REFINANCE,B,8,MEDIUM,CURRENT,0,JPMorgan Chase,2025-06-17,2025-07-10,COMPLETE,SERVICING_SYS
L000006,B2489,CONVENTIONAL,2023-02-10,2043-02-10,661878.00,370393.76,7.667,180,DC,CASH_OUT,D,19,LOW,CURRENT,0,Quicken Loans,2024-09-28,2024-10-10,COMPLETE,SERVICING_SYS
L000007,B9797,VA,2021-11-13,2041-11-13,630099.00,541574.38,7.112,240,NV,PURCHASE,D,0,HIGH,CURRENT,0,US Bank,2030-01-12,2030-02-05,COMPLETE,ORIGINATION_SYS
L000008,B9689,CONVENTIONAL,2016-09-10,2046-09-10,582323.00,405198.18,6.094,240,XX,REFINANCE,C,7,LOW,CURRENT,0,JPMorgan Chase,2025-04-29,2025-05-27,COMPLETE,ORIGINATION_SYS
L000009,B3103,JUMBO,2011-12-03,2041-12-03,559597.00,0.00,8.181,180,RI,REFINANCE,B,29,MEDIUM,CLOSED,0,PNC Bank,2017-12-22,2017-12-31,COMPLETE,MANUAL_ENTRY
L000010,B4770,FHA,2018-05-18,2038-05-18,592717.00,351757.38,2.543,360,IA,PURCHASE,A,27,HIGH,CURRENT,0,Wells Fargo,2019-03-06,2019-03-22,COMPLETE,MANUAL_ENTRY
L000011,B4981,JUMBO,2020-11-20,2035-11-20,615427.00,0.00,7.345,180,TX,REFINANCE,C,13,VERY_HIGH,PAID_OFF,0,Quicken Loans,2027-05-16,2027-06-12,COMPLETE,MANUAL_ENTRY
L000012,B4116,JUMBO,2012-03-17,2027-03-17,472179.00,0.00,3.341,180,KS,PURCHASE,D,25,LOW,PAID_OFF,0,Wells Fargo,2013-07-07,2013-07-27,MISSING,ORIGINATION_SYS
L000013,B1960,FHA,2012-02-04,2027-02-04,224389.00,126593.35,4.774,240,DC,REFINANCE,C,13,VERY_HIGH,CURRENT,0,JPMorgan Chase,2021-11-14,2021-11-20,COMPLETE,ORIGINATION_SYS
L000014,B9238,FHA,2022-12-28,2052-12-28,618532.00,210067.34,2.841,360,ID,PURCHASE,A+,2,MEDIUM,CURRENT,0,Quicken Loans,2023-08-20,2023-08-23,MISSING,MANUAL_ENTRY
